"filename", "language", "Markdown", "JSON", "HTML", "Shell Script", "Skill", "comment", "blank", "total"
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/.claude-plugin/marketplace.json", "JSON", 0, 18, 0, 0, 0, 0, 1, 19
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/README.md", "Markdown", 47, 0, 0, 0, 0, 0, 17, 64
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/3-way-comparison.html", "HTML", 0, 0, 1095, 0, 0, 0, 78, 1173
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/README.md", "Markdown", 19, 0, 0, 0, 0, 0, 5, 24
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/Run-Notes.md", "Markdown", 19, 0, 0, 0, 0, 0, 11, 30
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/code-review-design/Design-Notes.md", "Markdown", 70, 0, 0, 0, 0, 0, 45, 115
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/code-review-design/index.html", "HTML", 0, 0, 504, 0, 0, 12, 46, 562
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/comparisons.md", "Markdown", 68, 0, 0, 0, 0, 0, 24, 92
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/pr65-fab5-solo-review.html", "HTML", 0, 0, 377, 0, 0, 10, 28, 415
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/pr65-v4-findings/00-Manifest/manifest.md", "Markdown", 8, 0, 0, 0, 0, 0, 3, 11
"/Users/jeffboothe/c/dev/AI/CC-Plugins-by-reU/Deep-Skills/docs/benchmarks/pr65-v4-findings/04-Code-Review/certificate.md", "Markdown", 24, 0, 0, 0, 0, 0, 10, 34
